1	It baffles me that Steve Ballmer can be a CEO of a company, let alone a giant like #Microsoft - The guys a moron.
1	I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno
1	Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft
1	Seriously - I have absolutely no offing clue what @Apple means by "authorization", nor how to do it.
1	I've seen a couple of iPhone 4S's already, but still no Windows Phone 7's ... ever! #Microsoft not so hot.
1	Six PowerPoint Nightmares (and How to Fix Them) http://t.co/JsQ96NuQ #powerpoint #microsoft #presentations
1	#Google #Cloud Service Blackouts Threaten Cloud Users: During a 30-day period in August and September, for ... http://t.co/G0ElVRVJ #TCN
0	@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before
1	Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
0	Really @Apple and @ATT - Removing the 3G/EDGE switch on iOS 5? You do realize that you work on the 3G network in places often, right?
1	RT @businessuplift: Why #facebook and #google have got it wrong http://t.co/PDbF7H3f
1	I feel all alone on #twitter. #itstolate
1	#Samsung, #Google Unveil Phone http://t.co/hOB37hbO
0	Who else is on g+ ? Add for add? Let me know.  #TFB #TAF #google+
1	Gonna dump one of my gmail accounts. not only do I get tons of spam I get tons of false positives. Not cool. #Google
1	Did #Google really just highlight a new font #Roboto as part of their #ICS announcement for #Android...?! Seriously.
0	RT @asherCFO: #Yahoo up 4 sale - again! Yrs back #Microsoft almost bought it & now glad it didn't. This could b deal of the year that do ...
1	I wonder if I tweet Bill Gates he'll fix my laptop... 

#Microsoft
#vista
#fml
1	removing all @apple shit.
1	RT @guardiantech: How #Apple eclipsed #Microsoft http://t.co/GK6YjTFY &lt;- Microsoft's future is in the corporate world, not consumer
0	RememberiN wen @apple and @blackberry were just fruit
#nostalgia
1	I so wish that #SteveBallmer from #Microsoft would have to swallow his words about #Yahoo: http://t.co/XSJGIfop
0	@Apple, Y U NO LET ME PRE-ORDER IPHONE 4S?
1	So let me get this straight, #microsoft makes windows phone, microsoft owns skype but there's no #skype app for windows phone.
1	@kursed #Google is terrible at presentations. Hated the terrible camera interference from the huge screen behind the speakers. #headache
0	@Apple, why do you have such a beef with @Windows?  #cantwealljustgetalong
0	Lecture Notes in Financial Economics pdf ebook:  http://t.co/Ef8j77uj #google
0	picking up my #iPhone4S in two hours @Apple!
1	#skype is ruining the friendship with your aggressive #microsoft type selling. If i need something i'll ask. Thank you...
0	@Apple very disappointed Hogwarts not choice on world clock on iPhone
0	@Apple do not buy an iPhone 4s that isn't in the store. THEY ARE NOT MADE YET AND DEFRAUDING YOU
0	So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac
1	I need to get off #twitter
0	twitter people when someone blocks u can they see ur twitts direct to them? #twitter
1	Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often
0	@Affan Fact! They still do everything better though #google
0	#twitter is not #eharmony
0	@VSLive What is up with #ATT at #Microsoft?  Full bars in one building and no service in another only 1000 or so feet away?  #vslive
0	Can someone explain to me how the hell iMessage differs from a text message? @Apple #fb
1	When u dine with a customer u shoukd never explain abt solutions unless he ask , M$ never lean the concept #microsoft #fail
0	So ya my ITunes is in Japanese???
@apple
#lostasamothafucka
1	THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
0	... and we were just told what a #microsoft minute is: it is 95 sconds + 1 second which is from 1 to 10 minutes. :)
0	coming back soon!!!! #twitter...
1	Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...
0	@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone
1	2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
1	Clarence Thomas must have designed the new OSX lion, tossing decades of workflow standards, @apple bring back save as! #autoSaveSucks
1	@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.
1	So much garbage. #Twitter
0	@Apple Why do you have a volume control in the fast app switcher!? Buttons. Volume buttons. You have them. Give me a brightness slider! #wtf
0	Thanks, @Apple. Now even more people on the bus are talking to inanimate objects. Harder than ever to tell who's crazy and who's hip.
1	Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
1	any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious
1	The face recognition unlock would be cool if it works. #android #google #icecreamsandwich
1	Which planet is he living on? #Microsoft #CEO #Fail #palmface http://t.co/3zcq60SF
0	@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!
1	@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
1	Im gonna need #Twitter to get all these problems fixed ASAP.
1	#microsoft still didn't managed access to #metro apps on "older" netbooks. #win8 #resolution
1	#Twitter'sMalfunctioningAgain
0	@apple no Siri support for Canada sucks #Siri but loving the new iPhone upgrade from my 3GS #iphone4s
0	Ahhh!! Why is #Twitter so #addicting
0	Upgrading my #iPad to #iOS5. When @Apple said it could take a couple of hours to install and restore it, they weren't kidding.
1	@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
1	#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-
0	Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
0	I wanna RT a lot of tweets.. but my app won't work. What's the best #Twitter #App??
0	@ManwitPURPOSE50 what are you doing now on #twitter????
1	@APPLE Wow @MOTOROLA Just crushed your dreams....
1	Unmindful Ballmer, collects half a billion, doesn't say thank you.  http://t.co/lwtpXejo #android #google #microsoft
0	Lemme just say iOS5 is mad cool BUT it needs A LOT of bug fixes @Apple
1	Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
1	RT @Saptha: When u dine with a customer u shoukd never explain abt solutions unless he ask , M$ never lean the concept #microsoft #fail
0	Can someone explain to me how the hell iMessage differs from a text message? @Apple
1	You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?
0	My Facebook messed up and I had to make a new one so... add me! Haha at least #twitter is reliable
1	Why is  #Siri always down @apple
0	can't wait for @Spotify and @Apple to integrate with Siri.
0	And @Apple I still have an old MBP from 2006 which I use - which can't run #Lion, I still like to sync it!
1	An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
0	hmm it seems i should have checked the identity of @apple first
1	@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
1	There are too many #google services that do not work when you are a #googleapps user. #googleplus above all + profiles + #plusone
1	If #Apple came out with gaming console (ala Xbox 360) that blew the current players out of water, #Microsoft and #Sony would be in trouble
1	I have been seriously slacking with my #mandarin studies these past few months. Blame #Microsoft and #Cisco!! #StudyingWhilstMotivated
1	Well... @Paging_Dr_A has gotten back on #twitter.. there goes my TL lol
1	Now, really #google how hypocritical is this? http://t.co/6nHuYFeh #analytics
0	Why doesn't the Genius have songs for Watch the Throne yet? HUH? @APPLE ?????
1	@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.
1	So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
0	#TroyHopson needs a #twitter. Swear
0	@twalve too busy having slappy hissy-fits with Samsung? @Apple
1	+1 RT @tah_med: the background is SO horrible for this stream #Samsung #Google #NexusPrime they should've seen what #Adobe did at #AdobeMAX
0	#Yahoo up 4 sale - again! Yrs back #Microsoft almost bought it & now glad it didn't. This could b deal of the year that dosent happen!
1	Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop
0	Is it just me or is #iOS5 faster for the iPad? @apple
1	@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
0	@JackDavidson95 ill be manager after a week! Yeh joint ownership of #microsoft ahhhhh
0	It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
0	YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?
0	Why can't I check just Notes (without mail) on Lion for #iCloud like I do on the iOS devices @apple ?
1	@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.
1	Thank you #twitter for not giving me the 10 tweets that have been tweeted at me in the past 3 days! Lol #blameitontheiphone #ineedtoupdate
1	@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
0	In terms of unified communications giants, really surprised to see how underrated #Microsoft is
0	@apple @AppStore @ihelpline when r u going to provide the ability to password protect iPad email???
1	ATHEN's review of #Google Docs #accessibility shows a lot of work needs to be done. http://t.co/rad9WdSw #a11y HT @chadleaman
0	@nand_krish007 #Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/pltitgeI
0	@apple iphone 4s arrival on Tuesday!! #iPhone4S
1	I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
0	@apple How much is the student discount on the MacBook Air in Canada? Your reps have said both $50 and $100. Which is it? Thanks! #laptop
1	Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment
0	Oops! Apparently @apple is some handle-squatter. Tweetbarassment.
0	I want Siri on my iPhone4 ! @apple
1	Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft
0	@Apple  I asked Siri 'if she swallowed' she relied 'Lets see' - wtf do i do now? wank over my phone?
1	RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
1	Siri is having a hard time remembering who my sister is. contact card needs space for family info. #iPhone4S @apple
1	RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...
1	Dear #Microsoft, I should only have to hit the Windows update button *once* when manually running updates, not 4 or 5 times. #sysadmin
1	WHERE THE HECK IS THE @ANDROID SOURCE CODE ?? WTF #GOOGLE
1	#twitter show my fuckin retweets bitch
0	@apple should make Siri avalible for all devices not exclusive to the iPhone 4S
